"polish"	"indpol_hindi"	"indpol_marathi"	"hindi_meaning"	"marathi_meaning"	"english_meaning"	"pos"	"level"
"język angielski"	"यएंज़िक अनगिेलसकि"	"यएंज़इक अनगइएलसकइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: English]"	"English"	"noun"	"A2"
"jść"	"यशच"	"यशच"	"जाना"	"जाणे"	""	"noun"	"A2"
"jutro"	"युतरो"	"यउतरओ"	"कल"	"उद्या"	"tomorrow"	"noun"	"A2"
"już"	"युझ"	"यउझ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: already]"	"already"	"noun"	"A1"
"kabina"	"कअबिनअ"	"कअबइनअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: cabin]"	"cabin"	"noun"	"B1"
"kamera"	"कअमेरअ"	"कअमएरअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: camera]"	"camera"	"noun"	"C1"
"kamień"	"कअमिेञ"	"कअमइएञ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: stone]"	"stone"	"noun"	"A2"
"kanapa"	"कअनअपअ"	"कअनअपअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: couch]"	"couch"	"noun"	"C1"
"kapelusz"	"कअपेलुश"	"कअपएलउश"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: hat]"	"hat"	"noun"	"A2"
"kapitan"	"कअपितअन"	"कअपइतअन"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: captain]"	"captain"	"noun"	"B1"
"kapłan"	"कअपवअन"	"कअपवअन"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: priest]"	"priest"	"noun"	"B1"
"karabin"	"कअरअबिन"	"कअरअबइन"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: rifle]"	"rifle"	"noun"	"B2"
"kariera"	"कअरिेरअ"	"कअरइएरअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: career]"	"career"	"noun"	"B2"
"karmić"	"कअरमिच"	"कअरमइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to feed]"	"to feed"	"verb"	"B1"
"karta"	"कअरतअ"	"कअरतअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: card]"	"card"	"noun"	"B1"
"kąt"	"कओंत"	"कओंत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: corner]"	"corner"	"noun"	"A2"
"kawa"	"कअवअ"	"कअवअ"	"कॉफी"	"कॉफी"	"coffee"	"noun"	"A2"
"kawałek"	"कअवअवेक"	"कअवअवएक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: bit]"	"bit"	"noun"	"A1"
"kawiarnia"	"कअविअरनिअ"	"कअवइअरनिअ"	"कॉफी हाउस"	"कॉफी हाउस"	""	"noun"	"A2"
"każdy"	"कअझदि"	"कअझदइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: any]"	"any"	"noun"	"A1"
"kierować"	"किेरोवअच"	"कइएरओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to direct]"	"to direct"	"verb"	"B1"
"kierowca"	"किेरोवत्सअ"	"कइएरओवत्सअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: driver]"	"driver"	"noun"	"B1"
"kierownik"	"किेरोवनिक"	"कइएरओवनिक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"A2"
"kierunek"	"किेरुनेक"	"कइएरउनएक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: course]"	"course"	"noun"	"A1"
"kieszeń"	"किेशेञ"	"कइएशएञ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: pocket]"	"pocket"	"noun"	"A2"
"kilka"	"किलकअ"	"कइलकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: several]"	"several"	"noun"	"A1"
"kiwać"	"किवअच"	"कइवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to nod]"	"to nod"	"verb"	"A1"
"kłamać"	"कवअमअच"	"कवअमअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to lie]"	"to lie"	"verb"	"A1"
"klasa"	"कलअसअ"	"कलअसअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: class]"	"class"	"noun"	"A2"
"klatka piersiowa"	"कलअतकअ पिेरशिोवअ"	"कलअतकअ पइएरशिओवअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"A2"
"klawisz"	"कलअविश"	"कलअवइश"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: key]"	"key"	"noun"	"A2"
"klient"	"कलिेनत"	"कलइएनत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: client]"	"client"	"noun"	"C1"
"kłopot"	"कवोपोत"	"कवओपओत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: trouble]"	"trouble"	"noun"	"A1"
"klub"	"कलुब"	"कलउब"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: club]"	"club"	"noun"	"B2"
"kobieta"	"कोबिेतअ"	"कओबइएतअ"	"स्त्री"	"स्त्री"	"woman"	"noun"	"A2"
"kochać"	"कोखअच"	"कओखअच"	"प्यार करना"	"प्रेम करणे"	"to love"	"verb"	"A2"
"kochanek"	"कोखअनेक"	"कओखअनएक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: lover]"	"lover"	"noun"	"B1"
"kochanie"	"कोखअनिे"	"कओखअनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: darling]"	"darling"	"noun"	"C1"
"kochanka"	"कोखअनकअ"	"कओखअनकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: mistress]"	"mistress"	"noun"	"C1"
"kogo"	"कोगो"	"कओगओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: whom]"	"whom"	"noun"	"A1"
"kogokolwiek"	"कोगोकोलविेक"	"कओगओकओलवइएक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: anybody]"	"anybody"	"noun"	"B1"
"kojarzyć"	"कोयअझिच"	"कओयअझइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to associate]"	"to associate"	"verb"	"C1"
"kolano"	"कोलअनो"	"कओलअनओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: knee]"	"knee"	"noun"	"A2"
"Kolejny"	"कोलेयनि"	"कओलएयनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: next]"	"next"	"noun"	"A1"
"kołnierz"	"कोवनिेझ"	"कओवनिएझ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"A2"
"koło"	"कोवो"	"कओवओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: wheel]"	"wheel"	"noun"	"B1"
"kolor"	"कोलोर"	"कओलओर"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: color]"	"color"	"noun"	"B1"
"komfort"	"कोमफोरत"	"कओमफओरत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: comfort]"	"comfort"	"noun"	"B1"
"komora"	"कोमोरअ"	"कओमओरअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: chamber]"	"chamber"	"noun"	"B2"
"komórka"	"कोमउरकअ"	"कओमउरकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: cell]"	"cell"	"noun"	"B2"
"kompletny"	"कोमपलेतनि"	"कओमपलएतनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: complete]"	"complete"	"noun"	"A2"
"komputer"	"कोमपुतेर"	"कओमपउतएर"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: computer]"	"computer"	"noun"	"B2"
"koń"	"कोञ"	"कओञ"	"घोड़ा"	"घोडा"	"horse"	"noun"	"A2"
"koniec"	"कोनिेत्स"	"कओनिएत्स"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: over]"	"over"	"noun"	"A1"
"konkluderer"	"कोनकलुदेरेर"	"कओनकलउदएरएर"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: conclusion]"	"conclusion"	"noun"	"C1"
"konsekvens"	"कोनसेकवेनस"	"कओनसएकवएनस"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: consequence]"	"consequence"	"noun"	"B2"
"kontakt"	"कोनतअकत"	"कओनतअकत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: contact]"	"contact"	"noun"	"B1"
"konto"	"कोनतो"	"कओनतओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: account]"	"account"	"noun"	"A2"
"kontrola"	"कोनतरोलअ"	"कओनतरओलअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: control]"	"control"	"noun"	"A2"
"kontynuować"	"कोनतिनुोवअच"	"कओनतइनउओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to continue]"	"to continue"	"verb"	"A1"
"kopać"	"कोपअच"	"कओपअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to kick]"	"to kick"	"verb"	"B1"
"korona"	"कोरोनअ"	"कओरओनअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: crown]"	"crown"	"noun"	"C1"
"korytarz"	"कोरितअझ"	"कओरइतअझ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: corridor]"	"corridor"	"noun"	"C1"
"korzeń"	"कोझेञ"	"कओझएञ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: root]"	"root"	"noun"	"B2"
"korzyść"	"कोझिशच"	"कओझइशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: benefit]"	"benefit"	"noun"	"C1"
"kość"	"कोशच"	"कओशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: bone]"	"bone"	"noun"	"A2"
"kościół"	"कोशचिउव"	"कओशचिउव"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: church]"	"church"	"noun"	"A2"
"koszt"	"कोशत"	"कओशत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: cost]"	"cost"	"noun"	"B1"
"koszula"	"कोशुलअ"	"कओशउलअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: shirt]"	"shirt"	"noun"	"A2"
"koszykówka"	"कोशिकउवकअ"	"कओशइकउवकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: basket]"	"basket"	"noun"	"C1"
"kot"	"कोत"	"कओत"	"बिल्ली"	"मांजर"	"cat"	"noun"	"A2"
"kraj"	"करअय"	"करअय"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: country]"	"country"	"noun"	"A1"
"kraść"	"करअशच"	"करअशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to steal]"	"to steal"	"noun"	"B1"
"krawędź"	"करअवएंजि"	"करअवएंजि"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: edge]"	"edge"	"noun"	"A2"
"kreatura"	"करेअतुरअ"	"करएअतउरअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: creature]"	"creature"	"noun"	"A2"
"kredyt"	"करेदित"	"करएदइत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: credit]"	"credit"	"noun"	"C1"
"krew"	"करेव"	"करएव"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: blood]"	"blood"	"noun"	"A1"
"krewny"	"करेवनि"	"करएवनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: relative]"	"relative"	"noun"	"C1"
"krok"	"करोक"	"करओक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: step]"	"step"	"noun"	"A1"
"król"	"करउल"	"करउल"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: king]"	"king"	"noun"	"A2"
"królowa"	"करउलोवअ"	"करउलओवअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: queen]"	"queen"	"noun"	"B2"
"krótki"	"करउतकि"	"करउतकइ"	"छोटा"	"लहान"	"short"	"noun"	"A2"
"krowa"	"करोवअ"	"करओवअ"	"गाय"	"गाय"	"cow"	"noun"	"A2"
"krwawy"	"करवअवि"	"करवअवइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: bloody]"	"bloody"	"noun"	"B2"
"krzesło"	"कझेसवो"	"कझएसवओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: chair]"	"chair"	"noun"	"A2"
"krzew"	"कझेव"	"कझएव"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: bush]"	"bush"	"noun"	"B2"
"krzyczeć"	"कझिचेच"	"कझइचएच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to shout]"	"to shout"	"verb"	"A2"
"krzywa"	"कझिवअ"	"कझइवअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: curve]"	"curve"	"noun"	"C1"
"krzyżować się"	"कझिझोवअच शिएं"	"कझइझओवअच शिएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to cross]"	"to cross"	"noun"	"A2"
"książę"	"कशिओंझएं"	"कशिओंझएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: prince]"	"prince"	"noun"	"B2"
"książka"	"कशिओंझकअ"	"कशिओंझकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: book]"	"book"	"noun"	"A1"
"księżyc"	"कशिएंझित्स"	"कशिएंझइत्स"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: moon]"	"moon"	"noun"	"A2"
"kształt"	"कशतअवत"	"कशतअवत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: shape]"	"shape"	"noun"	"A2"
"kto"	"कतो"	"कतओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: who]"	"who"	"noun"	"A1"
"którego"	"कतउरेगो"	"कतउरएगओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: whose]"	"whose"	"noun"	"A1"
"który"	"कतउरि"	"कतउरइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: which]"	"which"	"noun"	"A1"
"ktoś"	"कतोश"	"कतओश"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: someone]"	"someone"	"noun"	"A1"
"kubek"	"कुबेक"	"कउबएक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"A2"
"kuchnia"	"कुखनिअ"	"कउखनिअ"	"रसोई"	"स्वयंपाकघर"	"kitchen"	"noun"	"A2"
"kultura"	"कुलतुरअ"	"कउलतउरअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: culture]"	"culture"	"noun"	"B2"
"kupić"	"कुपिच"	"कउपइच"	"खरीदना"	"घेणे"	"to buy"	"verb"	"A2"
"kurtka"	"कुरतकअ"	"कउरतकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: jacket]"	"jacket"	"noun"	"B1"
"kurtyna"	"कुरतिनअ"	"कउरतइनअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: curtain]"	"curtain"	"noun"	"B2"
"kurz"	"कुझ"	"कउझ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: dust]"	"dust"	"noun"	"B1"
"kuzyn"	"कुज़िन"	"कउज़इन"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: cousin]"	"cousin"	"noun"	"B1"
"kwadrat"	"कवअदरअत"	"कवअदरअत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: square]"	"square"	"noun"	"B1"
"kwartał"	"कवअरतअव"	"कवअरतअव"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: quarter]"	"quarter"	"noun"	"B1"
"kwaśny"	"कवअशनि"	"कवअशनइ"	"खट्टा"	"आंबट"	""	"noun"	"A2"
"kwiat"	"कविअत"	"कवइअत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: flower]"	"flower"	"noun"	"A2"
"kwiece"	"कविेत्से"	"कवइएत्सए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"A2"
"kwiecień"	"कविेचिेञ"	"कवइएचिएञ"	"अप्रैल"	"एप्रिल"	"April"	"noun"	"A2"
"kwota"	"कवोतअ"	"कवओतअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: amount]"	"amount"	"noun"	"B1"
"ładny"	"वअदनि"	"वअदनइ"	"सुंदर"	"सुंदर"	"pretty"	"noun"	"A2"
"ładować"	"वअदोवअच"	"वअदओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to load]"	"to load"	"verb"	"B2"
"łagodny"	"वअगोदनि"	"वअगओदनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: gentle]"	"gentle"	"noun"	"A2"
"lampa"	"लअमपअ"	"लअमपअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: lamp]"	"lamp"	"noun"	"A2"
"łańcuch"	"वअञत्सुख"	"वअञत्सउख"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: chain]"	"chain"	"noun"	"B2"
"las"	"लअस"	"लअस"	"जंगल"	"जंगल"	"forest"	"noun"	"A2"
"łaska"	"वअसकअ"	"वअसकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: grace]"	"grace"	"noun"	"B2"
"latać"	"लअतअच"	"लअतअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to fly]"	"to fly"	"verb"	"A2"
"lato"	"लअतो"	"लअतओ"	"गर्मी"	"उन्हाळा"	"summer"	"noun"	"A2"
"łatwy"	"वअतवि"	"वअतवइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: easy]"	"easy"	"noun"	"A2"
"ława"	"वअवअ"	"वअवअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: bench]"	"bench"	"noun"	"B2"
"łazienka"	"वअज़िेनकअ"	"वअज़िएनकअ"	"बाथरूम"	"संबार"	"bathroom"	"noun"	"A2"
"leczyć"	"लेचिच"	"लएचइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to treat]"	"to treat"	"verb"	"B1"
"ledwie"	"लेदविे"	"लएदवइए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: hardly]"	"hardly"	"noun"	"A2"
"ledwo"	"लेदवो"	"लएदवओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: barely]"	"barely"	"noun"	"B1"
"lek"	"लेक"	"लएक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: drug]"	"drug"	"noun"	"B2"
"lekarz"	"लेकअझ"	"लएकअझ"	"डॉक्टर"	"डॉक्टर"	"doctor"	"noun"	"A2"
"lekcja"	"लेकत्सयअ"	"लएकत्सयअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: lesson]"	"lesson"	"noun"	"B2"
"lekki"	"लेककि"	"लएककइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: slight]"	"slight"	"noun"	"B1"
"lekko"	"लेकको"	"लएककओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: lightly]"	"lightly"	"noun"	"C1"
"lepszy"	"लेपशि"	"लएपशइ"	"बेहतर"	"चांगले"	""	"noun"	"A2"
"lewo"	"लेवो"	"लएवओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: left]"	"left"	"noun"	"A2"
"leżeć"	"लेझेच"	"लएझएच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to lay]"	"to lay"	"verb"	"A2"
"licznik"	"लिचनिक"	"लइचनिक"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: counter]"	"counter"	"noun"	"B2"
"liczyć"	"लिचिच"	"लइचइच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to count]"	"to count"	"verb"	"A2"
"Lika"	"लिकअ"	"लइकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: equally]"	"equally"	"noun"	"C1"
"lina"	"लिनअ"	"लइनअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: rope]"	"rope"	"noun"	"B2"
"linia"	"लिनिअ"	"लइनिअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: line]"	"line"	"noun"	"A1"
"lipiec"	"लिपिेत्स"	"लइपइएत्स"	"जुलाई"	"जुलै"	"July"	"noun"	"A2"
"liść"	"लिशच"	"लइशच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"A2"
"liście"	"लिशचिे"	"लइशचिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: blade]"	"blade"	"noun"	"C1"
"list"	"लिसत"	"लइसत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: letter]"	"letter"	"noun"	"A1"
"lista"	"लिसतअ"	"लइसतअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: list]"	"list"	"noun"	"B1"
"listopad"	"लिसतोपअद"	"लइसतओपअद"	"नवंबर"	"नोव्हेंबर"	""	"noun"	"A2"
"literacki"	"लितेरअत्सकि"	"लइतएरअत्सकइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: literary]"	"literary"	"noun"	"B2"
"lód"	"लउद"	"लउद"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: ice]"	"ice"	"noun"	"A2"
"łódź"	"वउजि"	"वउजि"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: boat]"	"boat"	"noun"	"A2"
"lokalny"	"लोकअलनि"	"लओकअलनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: local]"	"local"	"noun"	"B1"
"łokieć"	"वोकिेच"	"वओकइएच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: elbow]"	"elbow"	"verb"	"A2"
"Londyn"	"लोनदिन"	"लओनदइन"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: London]"	"London"	"noun"	"A2"
"los"	"लोस"	"लओस"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: lot]"	"lot"	"noun"	"A1"
"lot"	"लोत"	"लओत"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: flight]"	"flight"	"noun"	"B1"
"łóżko"	"वउझको"	"वउझकओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: bed]"	"bed"	"noun"	"A2"
"lub"	"लुब"	"लउब"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: or]"	"or"	"noun"	"A1"
"lubić"	"लुबिच"	"लउबइच"	"पसंद करना"	"आवडणे"	"like"	"verb"	"A2"
"lud"	"लुद"	"लउद"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: folk]"	"folk"	"noun"	"B1"
"lustro"	"लुसतरो"	"लउसतरओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: mirror]"	"mirror"	"noun"	"B1"
"luty"	"लुति"	"लउतइ"	"फरवरी"	"फेब्रुवारी"	""	"noun"	"A2"
"luźne"	"लुज़ने"	"लउज़नए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: loose]"	"loose"	"noun"	"B1"
"łyżka"	"विझकअ"	"वइझकअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"A2"
"łza"	"वज़अ"	"वज़अ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: tear]"	"tear"	"noun"	"A1"
"mądra"	"मओंदरअ"	"मओंदरअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"A2"
"mądry"	"मओंदरि"	"मओंदरइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: wise]"	"wise"	"noun"	"B1"
"magazyn"	"मअगअज़िन"	"मअगअज़इन"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: magazine]"	"magazine"	"noun"	"B2"
"magia"	"मअगिअ"	"मअगइअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: magic]"	"magic"	"noun"	"B2"
"maj"	"मअय"	"मअय"	"मई"	"मे"	""	"noun"	"A2"
"makaron"	"मअकअरोन"	"मअकअरओन"	"पास्ता"	"पास्ता"	""	"noun"	"A2"
"malarstwo"	"मअलअरसतवो"	"मअलअरसतवओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: painting]"	"painting"	"noun"	"B2"
"mało"	"मअवो"	"मअवओ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: little]"	"little"	"noun"	"A1"
"malować"	"मअलोवअच"	"मअलओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to paint]"	"to paint"	"verb"	"B1"
"malutki"	"मअलुतकि"	"मअलउतकइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: tiny]"	"tiny"	"noun"	"B1"
"mały"	"मअवि"	"मअवइ"	"छोटा"	"लहान"	"small"	"noun"	"A2"
"mały palec"	"मअवि पअलेत्स"	"मअवइ पअलएत्स"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: pink]"	"pink"	"noun"	"B2"
"mamrotać"	"मअमरोतअच"	"मअमरओतअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to mutter]"	"to mutter"	"verb"	"B1"
"mapa"	"मअपअ"	"मअपअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: map]"	"map"	"noun"	"C1"
"marchew"	"मअरखेव"	"मअरखएव"	"गाजर"	"गाजर"	""	"noun"	"A2"
"marnować"	"मअरनोवअच"	"मअरनओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to waste]"	"to waste"	"verb"	"B1"
"marsz"	"मअरश"	"मअरश"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: March]"	"March"	"noun"	"B2"
"marszczyć brwi"	"मअरश्चिच बरवि"	"मअरश्चइच बरवइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to frown]"	"to frown"	"noun"	"B1"
"martwić się"	"मअरतविच शिएं"	"मअरतवइच शिएं"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to worry]"	"to worry"	"noun"	"A2"
"marzec"	"मअझेत्स"	"मअझएत्स"	"मार्च"	"मार्च"	""	"noun"	"B1"
"marzenie"	"मअझेनिे"	"मअझएनिए"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: dream]"	"dream"	"noun"	"A1"
"masa"	"मअसअ"	"मअसअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: mass]"	"mass"	"noun"	"B1"
"masło"	"मअसवो"	"मअसवओ"	"मक्खन"	"लोणी"	""	"noun"	"B1"
"maszerować"	"मअशेरोवअच"	"मअशएरओवअच"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: to march]"	"to march"	"verb"	"B2"
"maszyna"	"मअशिनअ"	"मअशइनअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: machine]"	"machine"	"noun"	"B1"
"materia"	"मअतेरिअ"	"मअतएरइअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: matter]"	"matter"	"noun"	"A1"
"materiał"	"मअतेरिअव"	"मअतएरइअव"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: material]"	"material"	"noun"	"B1"
"matka"	"मअतकअ"	"मअतकअ"	"माँ"	"माई"	"mother"	"noun"	"B1"
"mąż"	"मओंझ"	"मओंझ"	"पति"	"पती"	"husband"	"noun"	"B1"
"mech"	"मेख"	"मएख"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित]"	""	"noun"	"B1"
"medyczny"	"मेदिचनि"	"मएदइचनइ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: medical]"	"medical"	"noun"	"C1"
"metoda"	"मेतोदअ"	"मएतओदअ"	"[अर्थ लंबित]"	"[अर्थ प्रलंबित: method]"	"method"	"noun"	"C1"
"mężczyzna"	"मएंझचिज़नअ"	"मएंझचइज़नअ"	"पुरुष"	"पुरुष"	"man"	"noun"	"B1"
"miasto"	"मिअसतो"	"मइअसतओ"	"शहर"	"शहर"	"town"	"noun"	"B1"
